path,filename,label,label_name
data/raw/real\real_00543.jpg,real_00543.jpg,1,real
data/raw/real\real_00045.jpg,real_00045.jpg,1,real
data/raw/real\real_00108.jpg,real_00108.jpg,1,real
data/raw/real\real_00887.jpg,real_00887.jpg,1,real
data/raw/fake\mid_220_0011.jpg,mid_220_0011.jpg,0,fake
data/raw/real\real_00490.jpg,real_00490.jpg,1,real
data/raw/real\real_00493.jpg,real_00493.jpg,1,real
data/raw/real\real_00378.jpg,real_00378.jpg,1,real
data/raw/fake\mid_167_1100.jpg,mid_167_1100.jpg,0,fake
data/raw/real\real_00486.jpg,real_00486.jpg,1,real
data/raw/fake\mid_410_1111.jpg,mid_410_1111.jpg,0,fake
data/raw/fake\easy_124_1110.jpg,easy_124_1110.jpg,0,fake
data/raw/fake\mid_448_0011.jpg,mid_448_0011.jpg,0,fake
data/raw/real\real_01026.jpg,real_01026.jpg,1,real
data/raw/fake\easy_189_1101.jpg,easy_189_1101.jpg,0,fake
data/raw/fake\easy_201_0001.jpg,easy_201_0001.jpg,0,fake
data/raw/real\real_00289.jpg,real_00289.jpg,1,real
data/raw/fake\hard_116_1101.jpg,hard_116_1101.jpg,0,fake
data/raw/real\real_01020.jpg,real_01020.jpg,1,real
data/raw/real\real_00409.jpg,real_00409.jpg,1,real
data/raw/fake\mid_251_1111.jpg,mid_251_1111.jpg,0,fake
data/raw/fake\easy_19_0111.jpg,easy_19_0111.jpg,0,fake
data/raw/real\real_00398.jpg,real_00398.jpg,1,real
data/raw/fake\mid_375_1110.jpg,mid_375_1110.jpg,0,fake
data/raw/fake\hard_203_0010.jpg,hard_203_0010.jpg,0,fake
data/raw/fake\mid_330_1111.jpg,mid_330_1111.jpg,0,fake
data/raw/fake\mid_113_1100.jpg,mid_113_1100.jpg,0,fake
data/raw/real\real_00779.jpg,real_00779.jpg,1,real
data/raw/fake\mid_24_1111.jpg,mid_24_1111.jpg,0,fake
data/raw/real\real_00593.jpg,real_00593.jpg,1,real
data/raw/real\real_00879.jpg,real_00879.jpg,1,real
data/raw/fake\mid_468_1110.jpg,mid_468_1110.jpg,0,fake
data/raw/fake\mid_363_1101.jpg,mid_363_1101.jpg,0,fake
data/raw/real\real_01064.jpg,real_01064.jpg,1,real
data/raw/fake\mid_257_1111.jpg,mid_257_1111.jpg,0,fake
data/raw/real\real_00225.jpg,real_00225.jpg,1,real
data/raw/fake\hard_43_1111.jpg,hard_43_1111.jpg,0,fake
data/raw/fake\mid_235_1100.jpg,mid_235_1100.jpg,0,fake
data/raw/real\real_00369.jpg,real_00369.jpg,1,real
data/raw/real\real_00845.jpg,real_00845.jpg,1,real
data/raw/real\real_00076.jpg,real_00076.jpg,1,real
data/raw/real\real_00530.jpg,real_00530.jpg,1,real
data/raw/real\real_00786.jpg,real_00786.jpg,1,real
data/raw/real\real_00619.jpg,real_00619.jpg,1,real
data/raw/fake\mid_234_0010.jpg,mid_234_0010.jpg,0,fake
data/raw/fake\hard_232_0001.jpg,hard_232_0001.jpg,0,fake
data/raw/fake\mid_419_0011.jpg,mid_419_0011.jpg,0,fake
data/raw/real\real_00578.jpg,real_00578.jpg,1,real
data/raw/real\real_00174.jpg,real_00174.jpg,1,real
data/raw/fake\mid_238_1111.jpg,mid_238_1111.jpg,0,fake
data/raw/real\real_00559.jpg,real_00559.jpg,1,real
data/raw/real\real_00177.jpg,real_00177.jpg,1,real
data/raw/fake\mid_68_1111.jpg,mid_68_1111.jpg,0,fake
data/raw/real\real_00136.jpg,real_00136.jpg,1,real
data/raw/fake\easy_215_1111.jpg,easy_215_1111.jpg,0,fake
data/raw/real\real_01004.jpg,real_01004.jpg,1,real
data/raw/fake\mid_478_1101.jpg,mid_478_1101.jpg,0,fake
data/raw/real\real_00755.jpg,real_00755.jpg,1,real
data/raw/real\real_00609.jpg,real_00609.jpg,1,real
data/raw/fake\easy_82_0001.jpg,easy_82_0001.jpg,0,fake
data/raw/fake\easy_21_0011.jpg,easy_21_0011.jpg,0,fake
data/raw/real\real_00284.jpg,real_00284.jpg,1,real
data/raw/fake\mid_246_0011.jpg,mid_246_0011.jpg,0,fake
data/raw/real\real_00844.jpg,real_00844.jpg,1,real
data/raw/fake\mid_11_1100.jpg,mid_11_1100.jpg,0,fake
data/raw/fake\mid_23_1111.jpg,mid_23_1111.jpg,0,fake
data/raw/fake\mid_157_1111.jpg,mid_157_1111.jpg,0,fake
data/raw/real\real_00843.jpg,real_00843.jpg,1,real
data/raw/real\real_00116.jpg,real_00116.jpg,1,real
data/raw/fake\mid_409_1101.jpg,mid_409_1101.jpg,0,fake
data/raw/real\real_00457.jpg,real_00457.jpg,1,real
data/raw/fake\hard_189_0011.jpg,hard_189_0011.jpg,0,fake
